"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2357.70394015696,490.368369101504,-4.80802614670467,1.52427833122322e-06
"2","lat_dd",-0.0434977728941494,0.0139458278355624,-3.11905276667968,0.0018143346598431
"3","long_dd",-0.00801943756097739,0.0057266649187881,-1.40036787112638,0.161403186009781
"4","am_em_domEcM",1.18527913336332,0.383007261991,3.09466490844543,0.00197035366302938
"5","am_em_domEcM-AM-ErM-mix",2.99101395568484,0.638314976553112,4.68579630049768,2.78873523200595e-06
"6","am_em_domEcM-AM-mix",2.68764897193141,0.395195288522247,6.80081228190077,1.04030904176508e-11
"7","am_em_domEcM/AM mix",-0.631717458412464,0.415481708506788,-1.52044589563957,0.128398946983035
"8","am_em_domEcM/AM/ErM mix",0.625119057779272,0.502314512099056,1.24447739956197,0.213323912208945
"9","am_em_domTBA",-0.296985190437769,0.808780920237101,-0.367201034305688,0.713469067867202
"10","year",1.16615880984509,0.242597322033007,4.80697313586348,1.53232571751997e-06
"11","total_precip_mm",-0.000868422276767016,0.00027736945990356,-3.1309224781595,0.00174258153077617
"12","sample_typesoil",19.5105964957412,597.823982165663,0.0326360217685858,0.973964843903998
