"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-62.1034455577002,399.778514918223,-0.155344630189553,0.8765496328381
"2","lat_dd",0.0518169742068776,0.013354244901044,3.88018750523488,0.000104375968847672
"3","long_dd",0.0248956643053824,0.00672913410794243,3.69968318449739,0.000215868778715225
"4","am_em_domEcM",0.249723969333514,0.336649130497733,0.741793002596797,0.458212760807232
"5","am_em_domEcM/AM mix",0.324898128591101,0.278647912476067,1.16598084551955,0.243622189942333
"6","am_em_domEcM/AM/ErM mix",0.828207918265735,0.380189448203645,2.17840848076908,0.0293756390615517
"7","am_em_domTBA",-1.38550111557171,0.661440782868603,-2.09467143764998,0.036200209953907
"8","year",0.0303034888883286,0.197784767475279,0.153214472859322,0.878229144735153
"9","total_precip_mm",0.000207500852263472,0.000238142373409712,0.871331083555119,0.38357340311561
