Genus,Guild
Gobabebomyces,NA
Cystobasidium,NA
Aporospora,NA
Ophiocordyceps,NA
unclassified,NA
Paraxerochrysium,NA
Alloexidiopsis,NA
Chionaster,NA
Knufia,NA
Paradevriesia,NA
Keratinophyton,NA
Didymocyrtis,NA
Aureoconidiella,NA
Pseudovalsaria,NA
Fusicolla,NA
Pseudophialocephala,NA
Kramasamuha,NA
Pseudohormonema,NA
Atichia,NA
Macroconia,NA
Unguiculariopsis,NA
Ordus,NA
Clavaria,NA
Sanguinoderma,NA
Neoeucasphaeria,NA
Hypocreopsis,NA
Heterocephalacria,NA
Collybiopsis,NA
Collybia,NA
Punjabia,NA
Diaporthe,NA
Hypsotheca,NA
Inosperma,NA
Helotium,NA
Marchandiomyces,NA
Volvariella,NA
Chalciporus,NA
Quasiphoma,NA
Paragaeumannomyces,NA
Sphaerostilbella,NA
Hirticrusta,NA
Letendraea,NA
Mariorajchenbergia,NA
Heitmania,NA
Jorgewrightia,NA
Pseudopenicillium,NA
Annellophorella,NA
Cremeoderma,NA
Naohidea,NA
Neodiluviicola,NA
Densosporales_fam16_gen01,NA
Lacellina,NA
Cyrenella,NA
Cyphobasidium,NA
Parasarocladium,NA
Tetrapyrgos,NA
