"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-12339.1800908532,17194.3940906917,-0.717628084233173,0.472986636430461
"2","lat_dd",0.0774449815430477,0.143975103401366,0.537905371924969,0.590642379569346
"3","long_dd",0.00916620653310443,0.0582099797248568,0.157467956120766,0.874876060117954
"4","am_em_domEcM",-24.2275484026198,6272.26435022141,-0.00386264784929936,0.996918060581008
"5","am_em_domEcM/AM mix",-22.1945626730229,4802.99109713328,-0.00462098767708938,0.996312998398543
"6","am_em_domEcM/AM/ErM mix",-20.509949472876,9130.68140217844,-0.00224626712612956,0.998207739647828
"7","am_em_domTBA",-19.611201057299,14326.0730822409,-0.00136891672579904,0.99890776282059
"8","year",6.09796557080966,8.50190133520491,0.717247275683974,0.4732215333988
"9","total_precip_mm",0.00487025444601412,0.00658421879295545,0.739685997559024,0.459490546415437
